host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,n_host_verifications
1,0.95,TRUE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,6,1,1,1,170,2,20,2,2,20,20,2,20,TRUE,7,37,67,342,217,9,2,4.77,4.87,4.91,4.89,4.64,4.72,FALSE,1,1,0,0,1.76,5
1,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,3,1,1.323567139,2,100,30,365,30,30,365,365,30,365,TRUE,0,0,0,0,25,0,0,4.85,4.79,5,4.89,4.79,4.74,FALSE,1,1,0,0,0.2,6
0.89073136,0,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,2,1.593526985,75,2,1095,2,2,1095,1095,2,1095,TRUE,0,26,56,331,9,0,0,4.14,3.83,4.33,4.33,4.67,4.17,FALSE,1,0,1,0,0.06,4
0.89073136,0.768297462,FALSE,1,1,TRUE,FALSE,Manhattan,Entire home/apt,4,1,1,2,150,30,30,30,30,30,30,30,30,TRUE,3,33,63,338,21,0,0,4.95,5,4.88,4.88,4.94,4.88,FALSE,1,1,0,0,0.21,3
1,0.84,TRUE,0,0,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,80,30,730,30,30,730,730,30,730,TRUE,16,16,16,250,68,4,0,4.68,4.56,4.76,4.67,4.37,4.51,FALSE,4,0,4,0,0.59,6
1,0.98,TRUE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,89,3,90,3,3,90,90,3,90,TRUE,1,5,35,298,293,11,0,4.92,4.94,4.98,4.98,4.83,4.91,FALSE,1,0,1,0,2.52,9
1,0.43,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,3,1,1,1,175,30,1125,30,30,1125,1125,30,1125,TRUE,10,32,32,306,117,6,0,4.76,4.83,4.82,4.92,4.89,4.62,FALSE,2,1,1,0,1.14,6
1,0.81,TRUE,3,3,TRUE,TRUE,Manhattan,Private room,1,1,1,1,100,28,360,28,30,90,360,28.5,297.7,TRUE,0,18,48,323,68,2,0,4.87,4.9,4.95,4.95,5,4.83,FALSE,4,1,3,0,1.88,6
0.89073136,1,TRUE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1.323567139,1,135,30,59,30,30,59,59,30,59,TRUE,0,0,0,0,32,1,0,4.71,4.41,4.9,4.97,4.93,4.69,FALSE,1,1,0,0,0.25,10
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,3,1,80,30,90,30,30,90,90,30,90,TRUE,28,58,88,178,4,0,0,4.33,4,4.33,4.33,4.33,4.33,FALSE,1,0,1,0,0.03,6
1,0.98,FALSE,3,3,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,90,2,365,2,2,1125,1125,2,1125,TRUE,13,19,19,222,497,28,2,4.49,4.41,4.73,4.73,4.72,4.57,TRUE,2,0,2,0,5.05,4
1,0.8,FALSE,4,4,TRUE,TRUE,Brooklyn,Private room,3,1.5,1,2,139,30,730,30,30,730,730,30,730,TRUE,29,59,89,364,92,0,0,4.84,4.85,4.92,4.97,4.83,4.72,FALSE,1,0,1,0,1.06,4
0.89073136,0.25,FALSE,1,1,TRUE,FALSE,Manhattan,Entire home/apt,1,1,1,1,160,14,30,14,14,30,30,14,30,TRUE,3,33,63,338,3,0,0,5,5,5,5,5,5,FALSE,1,1,0,0,0.03,3
1,0.77,TRUE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,206,4,60,4,4,60,60,4,60,TRUE,8,38,68,315,274,19,1,4.95,4.98,4.98,4.98,4.96,4.9,FALSE,1,1,0,0,2.82,8
0,0,FALSE,2,2,TRUE,TRUE,Manhattan,Entire home/apt,3,1,2,2,125,1,1125,1,1,1125,1125,1,1125,TRUE,2,6,9,170,34,0,0,4.41,4.45,4.41,4.34,4.66,4.59,FALSE,1,1,0,0,0.32,6
0.89073136,0.768297462,FALSE,11,11,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1,1,139,120,180,120,120,180,180,120,180,TRUE,0,0,0,0,20,0,0,5,5,5,5,5,5,FALSE,1,1,0,0,0.22,4
0,0,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,2,4,121,30,60,30,30,60,60,30,60,TRUE,28,58,88,363,4,0,0,3.5,4,3.67,4.67,3.67,3.33,FALSE,1,1,0,0,0.05,6
1,0.59,FALSE,1,1,TRUE,TRUE,Manhattan,Private room,2,1,1,1,72,4,999,1,4,999,999,4,999,TRUE,6,36,66,341,35,1,0,4.76,4.86,4.86,4.79,4.31,4.69,FALSE,1,0,1,0,0.49,8
0.8,0.15,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1,2,200,30,1125,30,30,1125,1125,30,1125,TRUE,4,34,64,339,136,0,0,4.91,4.9,4.88,4.89,4.98,4.76,FALSE,1,1,0,0,1.28,5
1,0.56,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,13,2.5,5,5,675,3,60,3,3,60,60,3,60,TRUE,5,9,19,210,29,6,1,4.67,4.58,4.84,4.81,4.88,4.62,FALSE,1,1,0,0,0.28,6
1,0.95,FALSE,2,2,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,75,7,45,7,7,1125,1125,7,1125,TRUE,3,9,39,39,234,11,0,4.8,4.58,4.93,4.87,4.85,4.76,FALSE,1,0,1,0,2.34,6
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Queens,Private room,1,1,1,1,78,90,90,90,90,90,90,90,90,TRUE,1,30,60,335,29,0,0,4.91,4.91,4.95,4.95,4.73,4.91,FALSE,1,0,1,0,0.23,4
0.89073136,0.768297462,FALSE,2,2,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,1,1,135,30,30,30,30,30,30,30,30,TRUE,0,0,0,0,337,0,0,4.71,4.82,4.89,4.92,4.38,4.72,FALSE,2,2,0,0,2.61,6
0.89073136,0.768297462,FALSE,1,1,TRUE,FALSE,Manhattan,Entire home/apt,4,2,2,2,500,5,30,5,7,30,30,5.1,30,TRUE,8,8,18,220,63,6,0,4.76,4.67,4.83,4.83,4.6,4.56,FALSE,1,1,0,0,0.58,5
1,0.5,FALSE,5,5,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,190,4,45,1,7,45,45,4.1,45,TRUE,18,44,74,341,173,4,1,4.61,4.77,4.72,4.69,4.54,4.6,FALSE,3,3,0,0,1.64,10
1,0.5,TRUE,1,1,TRUE,TRUE,Staten Island,Private room,2,1,1,1,70,2,730,2,2,730,730,2,730,TRUE,0,0,0,237,176,0,0,4.8,4.45,4.94,4.92,4.52,4.75,FALSE,1,0,1,0,1.7,8
1,0.97,TRUE,2,2,TRUE,TRUE,Manhattan,Entire home/apt,6,1,1,5,250,30,90,30,30,90,90,30,90,TRUE,0,2,32,298,13,1,0,4.85,4.62,5,5,5,4.77,FALSE,1,1,0,0,0.56,5
1,0.58,TRUE,3,3,TRUE,TRUE,Bronx,Private room,1,1.5,1,1,50,1,21,1,1,21,21,1,21,TRUE,10,40,70,160,293,16,3,4.89,4.84,4.96,4.98,4.54,4.89,FALSE,3,0,3,0,2.3,4
0.89073136,0,FALSE,2,2,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,110,30,30,30,30,30,30,30,30,TRUE,30,60,90,365,231,0,0,4.69,4.82,4.83,4.72,4.83,4.72,FALSE,2,0,2,0,2.63,8
0.5,0.03,FALSE,3,3,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1,1,194,30,365,30,30,365,365,30,365,TRUE,0,0,0,18,88,1,0,4.75,4.68,4.89,4.94,4.98,4.65,FALSE,1,1,0,0,0.86,11
0.92,0.93,FALSE,6,6,TRUE,FALSE,Manhattan,Private room,2,2.5,1,1,116,5,5,5,5,5,5,5,5,TRUE,0,2,32,32,49,1,0,4.84,4.84,4.97,4.89,4.19,4.65,FALSE,6,1,5,0,0.36,4
1,0.91,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1.323567139,1.593526985,98,30,180,30,30,180,180,30,180,TRUE,0,0,0,122,123,2,0,4.63,4.71,4.86,4.93,4.53,4.69,FALSE,1,1,0,0,1.06,6
0.89073136,0.768297462,FALSE,1,1,TRUE,FALSE,Manhattan,Entire home/apt,4,1,2,2,100,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,18,0,0,4.78,4.56,5,4.83,4.44,4.67,FALSE,1,1,0,0,0.47,1
1,1,TRUE,3,3,TRUE,TRUE,Brooklyn,Private room,2,1.5,1,1,65,2,31,2,2,31,31,2,31,TRUE,1,29,59,149,293,40,0,4.89,4.91,4.95,4.99,4.97,4.83,TRUE,2,0,2,0,3.38,6
0.8,0.75,FALSE,1,1,TRUE,FALSE,Manhattan,Private room,2,1,1,1,60,30,365,30,30,365,365,30,365,TRUE,26,56,86,361,24,1,0,4.33,3.95,4.84,4.58,4.89,4.42,FALSE,1,0,1,0,0.18,4
0.89073136,0.768297462,TRUE,5,5,TRUE,TRUE,Queens,Entire home/apt,16,2.5,5,10,395,30,730,30,30,730,730,30,730,TRUE,14,44,74,349,13,0,0,4.42,4.36,4.82,5,4.82,4.55,FALSE,6,5,1,0,0.51,5
